Highland Tinamou,Nothocercus bonapartei
Whistling Warbler,Catharopeza bishopi
Plumbeous Warbler,Setophaga plumbea
Elfin-woods Warbler,Setophaga angelae
Arrowhead Warbler,Setophaga pharetra
Hooded Warbler,Setophaga citrina
American Redstart,Setophaga ruticilla
Kirtland's Warbler,Setophaga kirtlandii
Cape May Warbler,Setophaga tigrina
Cerulean Warbler,Setophaga cerulea
Northern Parula,Setophaga americana
Tropical Parula,Setophaga pitiayumi
Magnolia Warbler,Setophaga magnolia
Bay-breasted Warbler,Setophaga castanea
Blackburnian Warbler,Setophaga fusca
Yellow Warbler,Setophaga petechia
Chestnut-sided Warbler,Setophaga pensylvanica
Blackpoll Warbler,Setophaga striata
Black-throated Blue Warbler,Setophaga caerulescens
Palm Warbler,Setophaga palmarum
Olive-capped Warbler,Setophaga pityophila
Pine Warbler,Setophaga pinus
Yellow-rumped Warbler,Setophaga coronata
Yellow-throated Warbler,Setophaga dominica
Bahama Warbler,Setophaga flavescens
Vitelline Warbler,Setophaga vitellina
Prairie Warbler,Setophaga discolor
Adelaide's Warbler,Setophaga adelaidae
Barbuda Warbler,Setophaga subita
St. Lucia Warbler,Setophaga delicata
Grace's Warbler,Setophaga graciae
Black-throated Gray Warbler,Setophaga nigrescens
Townsend's Warbler,Setophaga townsendi
Hermit Warbler,Setophaga occidentalis
Golden-cheeked Warbler,Setophaga chrysoparia
Black-throated Green Warbler,Setophaga virens
Buff-rumped Warbler,Myiothlypis fulvicauda
Fan-tailed Warbler,Basileuterus lachrymosus
Rufous-capped Warbler,Basileuterus rufifrons
Black-cheeked Warbler,Basileuterus melanogenys
Pirre Warbler,Basileuterus ignotus
Golden-browed Warbler,Basileuterus belli
Golden-crowned Warbler,Basileuterus culicivorus
Costa Rican Warbler,Basileuterus melanotis
Tacarcuna Warbler,Basileuterus tacarcunae
Canada Warbler,Cardellina canadensis
Wilson's Warbler,Cardellina pusilla
Red-faced Warbler,Cardellina rubrifrons
Red Warbler,Cardellina rubra
Pink-headed Warbler,Cardellina versicolor
Painted Redstart,Myioborus pictus
Slate-throated Redstart,Myioborus miniatus
Collared Redstart,Myioborus torquatus
Dusky-faced Tanager,Mitrospingus cassinii
Rose-throated Tanager,Piranga roseogularis
Hepatic Tanager,Piranga flava
Summer Tanager,Piranga rubra
Scarlet Tanager,Piranga olivacea
Western Tanager,Piranga ludoviciana
Flame-colored Tanager,Piranga bidentata
White-winged Tanager,Piranga leucoptera
Red-headed Tanager,Piranga erythrocephala
Red-crowned Ant-Tanager,Habia rubica
Red-throated Ant-Tanager,Habia fuscicauda
Black-cheeked Ant-Tanager,Habia atrimaxillaris
Carmiol's Tanager,Chlorothraupis carmioli
Lemon-spectacled Tanager,Chlorothraupis olivacea
Black-faced Grosbeak,Caryothraustes poliogaster
Yellow-green Grosbeak,Caryothraustes canadensis
Crimson-collared Grosbeak,Rhodothraupis celaeno
Northern Cardinal,Cardinalis cardinalis
Pyrrhuloxia,Cardinalis sinuatus
Yellow Grosbeak,Pheucticus chrysopeplus
Black-thighed Grosbeak,Pheucticus tibialis
Rose-breasted Grosbeak,Pheucticus ludovicianus
Black-headed Grosbeak,Pheucticus melanocephalus
Red-breasted Chat,Granatellus venustus
Gray-throated Chat,Granatellus sallaei
Blue Seedeater,Amaurospiza concolor
Blue-black Grosbeak,Cyanoloxia cyanoides
Blue Bunting,Cyanocompsa parellina
Blue Grosbeak,Passerina caerulea
Lazuli Bunting,Passerina amoena
Indigo Bunting,Passerina cyanea
Rose-bellied Bunting,Passerina rositae
Orange-breasted Bunting,Passerina leclancherii
Varied Bunting,Passerina versicolor
Painted Bunting,Passerina ciris
Dickcissel,Spiza americana
Blue-and-gold Tanager,Bangsia arcaei
Red-crested Cardinal,Paroaria coronata
Yellow-billed Cardinal,Paroaria capitata
Speckled Tanager,Ixothraupis guttata
Gray-and-gold Tanager,Poecilostreptus palmeri
Azure-rumped Tanager,Poecilostreptus cabanisi
Blue-gray Tanager,Thraupis episcopus
Yellow-winged Tanager,Thraupis abbas
Palm Tanager,Thraupis palmarum
Golden-hooded Tanager,Stilpnia larvata
Lesser Antillean Tanager,Stilpnia cucullata
Green-naped Tanager,Tangara fucosa
Spangle-cheeked Tanager,Tangara dowii
Plain-colored Tanager,Tangara inornata
Rufous-winged Tanager,Tangara lavinia
Bay-headed Tanager,Tangara gyrola
Emerald Tanager,Tangara florida
Silver-throated Tanager,Tangara icterocephala
White-eared Conebill,Conirostrum leucogenys
Saffron Finch,Sicalis flaveola
Grassland Yellow-Finch,Sicalis luteola
Slaty Finch,Haplospiza rustica
Peg-billed Finch,Acanthidops bairdi
Cinnamon-bellied Flowerpiercer,Diglossa baritula
Slaty Flowerpiercer,Diglossa plumbea
Green Honeycreeper,Chlorophanes spiza
Black-and-yellow Tanager,Chrysothlypis chrysomelas
Sulphur-rumped Tanager,Heterospingus rubrifrons
Scarlet-browed Tanager,Heterospingus xanthopygius
Yellow-backed Tanager,Hemithraupis flavicollis
Blue-black Grassquit,Volatinia jacarina
Gray-headed Tanager,Eucometis penicillata
White-shouldered Tanager,Tachyphonus luctuosus
Tawny-crested Tanager,Tachyphonus delatrii
White-lined Tanager,Tachyphonus rufus
Black-throated Shrike-Tanager,Lanio aurantius
White-throated Shrike-Tanager,Lanio leucothorax
Crimson-collared Tanager,Ramphocelus sanguinolentus
Flame-rumped Tanager,Ramphocelus flammigerus
Scarlet-rumped Tanager,Ramphocelus passerinii
Crimson-backed Tanager,Ramphocelus dimidiatus
Swallow Tanager,Tersina viridis
Shining Honeycreeper,Cyanerpes lucidus
Purple Honeycreeper,Cyanerpes caeruleus
Red-legged Honeycreeper,Cyanerpes cyaneus
Scarlet-thighed Dacnis,Dacnis venusta
Blue Dacnis,Dacnis cayana
Viridian Dacnis,Dacnis viguieri
Bananaquit,Coereba flaveola
Yellow-faced Grassquit,Tiaris olivaceus
Orangequit,Euneornis campestris
Puerto Rican Bullfinch,Melopyrrha portoricensis
Cuban Bullfinch,Melopyrrha nigra
Greater Antillean Bullfinch,Melopyrrha violacea
Yellow-shouldered Grassquit,Loxipasser anoxanthus
Cuban Grassquit,Phonipara canora
Lesser Antillean Bullfinch,Loxigilla noctis
Barbados Bullfinch,Loxigilla barbadensis
Black-faced Grassquit,Melanospiza bicolor
St. Lucia Black Finch,Melanospiza richardsoni
Cocos Finch,Pinaroloxias inornata
Lined Seedeater,Sporophila lineola
Thick-billed Seed-Finch,Sporophila funerea
Large-billed Seed-Finch,Sporophila crassirostris
Nicaraguan Seed-Finch,Sporophila nuttingi
Variable Seedeater,Sporophila corvina
Slate-colored Seedeater,Sporophila schistacea
Cinnamon-rumped Seedeater,Sporophila torqueola
Morelet's Seedeater,Sporophila morelleti
Yellow-bellied Seedeater,Sporophila nigricollis
Ruddy-breasted Seedeater,Sporophila minuta
Wedge-tailed Grass-Finch,Emberizoides herbicola
Black-headed Saltator,Saltator atriceps
Buff-throated Saltator,Saltator maximus
Slate-colored Grosbeak,Saltator grossus
Lesser Antillean Saltator,Saltator albicollis
Grayish Saltator,Saltator coerulescens
Streaked Saltator,Saltator striatipectus
